Name,Postcode,,
FAIRPRICE HUB,629117,,
NANYANG TECHNOLOGICAL UNIVERSITY,637331,,
NANYANG COMMUNITY CENTRE,649040,,
GEK POH VILLE,649149,,
JURONG POINT,648886,,
JURONG WEST,640501,,
YUNG HO,618591,,
JURONG EAST 2,609517,,
JCUBE,609731,,
LE QUEST,657991,,
JEM,608549,,
KEAT HONG MALL,680253,,
LOT 1 SHOPPERS' MALL,689812,,
YEW TEE POINT,689578,,
WEST MALL,658713,,
HOMETEAMNS @ BUKIT BATOK,659003,,
JALAN MAS PUTEH,128635,,
HILLION MALL,678278,,
BUKIT PANJANG PLAZA,677743,,
CLEMENTI MALL,129588,,
GREENRIDGE,671524,,
SINGAPORE POLYTECHNIC,139651,,
WOODGROVE,739065,,
CAUSEWAY POINT,738099,,
SINGAPORE ZOO (ENTRANCE),729826,,
WOODLANDS NORTH PLAZA,730883,,
SINGAPORE ZOO (KIDZWORLD),729826,,
WOODLANDS 888,730888,,
ARC,119963,,
ANCHORPOINT,159953,,
JALAN BUKIT MERAH,150007,,
CORONATION SHOPPING PLAZA,269707,,
BUKIT MERAH,150162,,
SUN PLAZA,757713,,
HARBOURFRONT CENTRE,099253,,
VIVOCITY,098585,,
YISHUN,761701,,
TIONG BAHRU PLAZA,168732,,
CANBERRA,750133,,
THOMSON PLAZA,574408,,
FAR EAST PLAZA,228213,,
TAKASHIMAYA,238873,,
NORTHPOINT CITY,768019,,
CATHAY CINELEISURE ORCHARD,239695,,
WISTERIA MALL,768698,,
NOVENA SQUARE,307683,,
TOA PAYOH LORONG 1,319758,,
CHINATOWN POINT,059413,,
PLAZA SINGAPURA,238839,,
ANG MO KIO,560715,,
JUNCTION 8,579837,,
TOA PAYOH,310190,,
FUNAN,179105,,
BUGIS JUNCTION,188021,,
CITY SQUARE MALL,208539,,
TOWNER ROAD,322102,,
POTONG PASIR COMMUNITY CENTRE,358361,,
NEX,556083,,
SERANGOON CENTRAL,550261,,
HOUGANG 1,538692,,
KALLANG STADIUM BOULEVARD,397800,,
PAYA LEBAR QUARTER,409057,,
HOUGANG MALL,538766,,
BUANGKOK,543277,,
COMPASS ONE,545078,,
ONE KM,437157,,
SENGKANG,540118,,
WATERWAY POINT,828761,,
RIVERVALE MALL,545082,,
PARKWAY PARADE,449269,,
PUNGGOL PLAZA,820169,,
PUNGGOL OASIS TERRACES,820861,,
BEDOK RESEVOIR,470632,,
SIGLAP,459104,,
BEDOK TOWN SQUARE,464208,,
TAMPINES STREET 81,521823,,
TAMPINES HUB,528523,,
TAMPINES NEW TOWN,521139,,
TAMPINES MALL,529510,,
WHITE SANDS,518457,,
EASTPOINT MALL,528833,,
DOWNTOWN EAST,519599,,
TAMPINES MART,529284,,
JEWEL CHANGI AIRPORT,819666,,
